Date,Inventory Source,Organization,Organization ID,Ad opportunities,Standardized
7/10/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1418.0,-0.8677469032087685
7/11/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1763.0,-0.3427875004882179
7/12/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1788.0,-0.30474696405919244
7/13/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1603.0,-0.5862469336339804
7/14/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1577.0,-0.6258090915201668
7/15/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,2066.0,0.11826380103157
7/16/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1330.0,-1.0016495914389378
7/17/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1162.0,-1.2572819962419886
7/18/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1905.0,-0.12671725357135358
7/19/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1827.0,-0.24540372722991283
7/20/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,2330.0,0.5199718657220782
7/21/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,2004.0,0.023923270687587008
7/22/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1853.0,-0.2058415693437264
7/22/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1852.0,-0.20736319080088744
7/23/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1621.0,-0.5588577474050821
7/24/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1517.0,-0.7171063789498278
7/25/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,2020.0,0.04826921400216327
7/26/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1797.0,-0.29105237094474334
7/27/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1701.0,-0.43712803083220086
7/28/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1860.0,-0.1951902191435993
7/29/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1856.0,-0.20127670497224337
7/30/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1253.0,-1.118814443640336
7/31/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1345.0,-0.9788252695815226
8/1/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1740.0,-0.37778479400292125
8/2/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1875.0,-0.17236589728618407
8/3/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1943.0,-0.06889563819923497
8/4/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1790.0,-0.30170372114487043
8/5/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1515.0,-0.7201496218641499
8/6/16,NewsRu_LRG_Preroll,Media TraderZ Ltd.,12178,1434.0,-0.8434009598941922
